PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,name_length,title,title_group,family_size,is_alone,ticket_group_size,fare_per_person,age_fare_ratio,cabin_deck,cabin_room_number,booking_reference,service_id,cabin_score,name_word_count
28,0,1,"Fortune, Mr. Charles Alexander",male,19.0,3,2,19950,263.0,C23 C25 C27,S,30,Mr,Mr,6,0,4,65.75,0.07224334600760456,C,23.0,62734929,335796,2.4734810174319763,4
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,,0,0,330959,7.8792,,Q,29,Miss,Miss,1,1,1,7.879,0.0,Unknown,,49035652,314176,4.505441353100935,4
30,0,3,"Todoroff, Mr. Lalio",male,,0,0,349216,7.8958,,S,19,Mr,Mr,1,1,1,7.896,0.0,Unknown,,53673342,284779,1.2915941515149498,3
31,0,1,"Uruchurtu, Don. Manuel E",male,40.0,0,0,PC 17601,27.7208,,C,24,Don,Other,1,1,1,27.721,1.4429597991399958,Unknown,,13792767,447449,9.540510272587223,4
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,1,0,PC 17569,146.5208,B78,C,46,Mrs,Mrs,2,0,2,73.26,0.0,B,78.0,41405837,521909,6.0617463445088005,6
33,1,3,"Glynn, Miss. Mary Agatha",female,,0,0,335677,7.75,,Q,24,Miss,Miss,1,1,1,7.75,0.0,Unknown,,25284766,358795,2.2864280550346274,4
34,0,2,"Wheadon, Mr. Edward H",male,66.0,0,0,C.A. 24579,10.5,,S,21,Mr,Mr,1,1,1,10.5,6.285714285714286,Unknown,,24335996,586232,6.7170068440585675,4
35,0,1,"Meyer, Mr. Edgar Joseph",male,28.0,1,0,PC 17604,82.1708,,C,23,Mr,Mr,2,0,2,41.085,0.3407536497149839,Unknown,,11954031,600186,6.181282404578958,4
36,0,1,"Holverson, Mr. Alexander Oskar",male,42.0,1,0,113789,52.0,,S,30,Mr,Mr,2,0,2,26.0,0.8076923076923077,Unknown,,77228839,256730,3.5816271803284048,4
37,1,3,"Mamee, Mr. Hanna",male,,0,0,2677,7.2292,,C,16,Mr,Mr,1,1,1,7.229,0.0,Unknown,,23686133,970910,1.1355759219962902,3
38,0,3,"Cann, Mr. Ernest Charles",male,21.0,0,0,A./5. 2152,8.05,,S,24,Mr,Mr,1,1,1,8.05,2.6086956521739126,Unknown,,3977999,484681,6.715731955927996,4
39,0,3,"Vander Planke, Miss. Augusta Maria",female,18.0,2,0,345764,18.0,,S,34,Miss,Miss,3,0,2,9.0,1.0,Unknown,,52172252,249503,5.2030770090379335,5
40,1,3,"Nicola-Yarred, Miss. Jamila",female,14.0,1,0,2651,11.2417,,C,27,Miss,Miss,2,0,2,5.621,1.2453632457724366,Unknown,,28542760,754811,7.723183917356393,3
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,1,0,7546,9.475,,S,46,Mrs,Mrs,2,0,1,9.475,4.221635883905013,Unknown,,88702828,627035,5.201635011119934,6
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,1,0,11668,21.0,,S,56,Mrs,Mrs,2,0,2,10.5,1.2857142857142858,Unknown,,7100467,748143,8.5218150031854,8
43,0,3,"Kraeff, Mr. Theodor",male,,0,0,349253,7.8958,,C,19,Mr,Mr,1,1,1,7.896,0.0,Unknown,,55244950,552366,5.519068387744856,3
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,1,2,SC/Paris 2123,41.5792,,C,40,Miss,Miss,4,0,3,13.86,0.07215146034555739,Unknown,,13852038,165725,5.609379715353863,6
45,1,3,"Devaney, Miss. Margaret Delia",female,19.0,0,0,330958,7.8792,,Q,29,Miss,Miss,1,1,1,7.879,2.4114123261244798,Unknown,,81274982,229981,8.76653602658345,4
46,0,3,"Rogers, Mr. William John",male,,0,0,S.C./A.4. 23567,8.05,,S,24,Mr,Mr,1,1,1,8.05,0.0,Unknown,,61302405,184654,4.034828662123971,4
47,0,3,"Lennon, Mr. Denis",male,,1,0,370371,15.5,,Q,17,Mr,Mr,2,0,1,15.5,0.0,Unknown,,33014310,691723,1.3401522845064073,3
48,1,3,"O'Driscoll, Miss. Bridget",female,,0,0,14311,7.75,,Q,25,Miss,Miss,1,1,1,7.75,0.0,Unknown,,90211289,419030,0.28782676313338973,3
49,0,3,"Samaan, Mr. Youssef",male,,2,0,2662,21.6792,,C,19,Mr,Mr,3,0,1,21.679,0.0,Unknown,,48932881,428947,7.55137255673619,3
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,1,0,349237,17.8,,S,45,Mrs,Mrs,2,0,2,8.9,1.0112359550561798,Unknown,,3561278,655839,6.203095513534647,5
51,0,3,"Panula, Master. Juha Niilo",male,7.0,4,1,3101295,39.6875,,S,26,Master,Master,6,0,6,6.615,0.1763779527559055,Unknown,,55081273,373538,7.0407976809922355,4
52,0,3,"Nosworthy, Mr. Richard Cater",male,21.0,0,0,A/4. 39886,7.8,,S,28,Mr,Mr,1,1,1,7.8,2.6923076923076925,Unknown,,18313645,431236,2.129641615089107,4
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1,0,PC 17572,76.7292,D33,C,40,Mrs,Mrs,2,0,3,25.576,0.638609551513635,D,33.0,45050934,628178,1.3637147558676976,6
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,1,0,2926,26.0,,S,50,Mrs,Mrs,2,0,1,26.0,1.1153846153846154,Unknown,,98331324,665894,0.14544665667881929,6
55,0,1,"Ostby, Mr. Engelhart Cornelius",male,65.0,0,1,113509,61.9792,B30,C,30,Mr,Mr,2,0,1,61.979,1.0487389317706586,B,30.0,17484091,589492,3.5058755880659698,4
56,1,1,"Woolner, Mr. Hugh",male,,0,0,19947,35.5,C52,S,17,Mr,Mr,1,1,1,35.5,0.0,C,52.0,76343490,356840,5.899176868546331,3
57,1,2,"Rugg, Miss. Emily",female,21.0,0,0,C.A. 31026,10.5,,S,17,Miss,Miss,1,1,1,10.5,2.0,Unknown,,48937389,573254,3.922440450997323,3
58,0,3,"Novel, Mr. Mansouer",male,28.5,0,0,2697,7.2292,,C,19,Mr,Mr,1,1,1,7.229,3.942344934432579,Unknown,,84867630,449457,4.374749220237291,3
59,1,2,"West, Miss. Constance Mirium",female,5.0,1,2,C.A. 34651,27.75,,S,28,Miss,Miss,4,0,3,9.25,0.18018018018018017,Unknown,,49439711,765987,9.041586944937483,4
60,0,3,"Goodwin, Master. William Frederick",male,11.0,5,2,CA 2144,46.9,,S,34,Master,Master,8,0,6,7.817,0.2345415778251599,Unknown,,93894854,370936,3.4825546702330037,4
61,0,3,"Sirayanian, Mr. Orsen",male,22.0,0,0,2669,7.2292,,C,21,Mr,Mr,1,1,1,7.229,3.0432136335970785,Unknown,,80858152,339931,5.139894891598108,3
62,1,1,"Icard, Miss. Amelie",female,38.0,0,0,113572,80.0,B28,,19,Miss,Miss,1,1,2,40.0,0.475,B,28.0,69871915,339629,7.8365301274114305,3
63,0,1,"Harris, Mr. Henry Birkhardt",male,45.0,1,0,36973,83.475,C83,S,27,Mr,Mr,2,0,2,41.738,0.5390835579514826,C,83.0,62982443,305041,3.9654278232127016,4
64,0,3,"Skoog, Master. Harald",male,4.0,3,2,347088,27.9,,S,21,Master,Master,6,0,6,4.65,0.14336917562724016,Unknown,,37597802,798361,6.220867002278735,3
65,0,1,"Stewart, Mr. Albert A",male,,0,0,PC 17605,27.7208,,C,21,Mr,Mr,1,1,1,27.721,0.0,Unknown,,79607086,831912,8.623637087467452,4
66,1,3,"Moubarek, Master. Gerios",male,,1,1,2661,15.2458,,C,24,Master,Master,3,0,2,7.623,0.0,Unknown,,52112602,517113,9.495206236576422,3
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,0,0,C.A. 29395,10.5,F33,S,28,Mrs,Mrs,1,1,1,10.5,2.761904761904762,F,33.0,24288762,168148,1.4707348092903794,4
68,0,3,"Crease, Mr. Ernest James",male,19.0,0,0,S.P. 3464,8.1583,,S,24,Mr,Mr,1,1,1,8.158,2.3289165634997486,Unknown,,72754703,877089,9.265876251614944,4
69,1,3,"Andersson, Miss. Erna Alexandra",female,17.0,4,2,3101281,7.925,,S,31,Miss,Miss,7,0,1,7.925,2.145110410094637,Unknown,,96707856,748531,4.921162930795382,4
70,0,3,"Kink, Mr. Vincenz",male,26.0,2,0,315151,8.6625,,S,17,Mr,Mr,3,0,1,8.662,3.0014430014430014,Unknown,,46687416,351995,2.5824438829895833,3
71,0,2,"Jenkin, Mr. Stephen Curnow",male,32.0,0,0,C.A. 33111,10.5,,S,26,Mr,Mr,1,1,1,10.5,3.0476190476190474,Unknown,,71335686,778843,4.591357562382613,4
72,0,3,"Goodwin, Miss. Lillian Amy",female,16.0,5,2,CA 2144,46.9,,S,26,Miss,Miss,8,0,6,7.817,0.3411513859275053,Unknown,,93894854,672843,9.800325752854771,4
73,0,2,"Hood, Mr. Ambrose Jr",male,21.0,0,0,S.O.C. 14879,73.5,,S,20,Mr,Mr,1,1,5,14.7,0.2857142857142857,Unknown,,89681991,356508,4.926180939928696,4
74,0,3,"Chronopoulos, Mr. Apostolos",male,26.0,1,0,2680,14.4542,,C,27,Mr,Mr,2,0,1,14.454,1.7987851281980325,Unknown,,21272771,903591,3.287516102875082,3
75,1,3,"Bing, Mr. Lee",male,32.0,0,0,1601,56.4958,,S,13,Mr,Mr,1,1,7,8.071,0.5664137865115637,Unknown,,75474632,996942,6.334008543167258,3
76,0,3,"Moen, Mr. Sigurd Hansen",male,25.0,0,0,348123,7.65,F G73,S,23,Mr,Mr,1,1,1,7.65,3.2679738562091503,F,73.0,74713479,206530,2.401456187781931,4
77,0,3,"Staneff, Mr. Ivan",male,,0,0,349208,7.8958,,S,17,Mr,Mr,1,1,1,7.896,0.0,Unknown,,96592790,704365,0.7586332810866392,3
78,0,3,"Moutal, Mr. Rahamin Haim",male,,0,0,374746,8.05,,S,24,Mr,Mr,1,1,1,8.05,0.0,Unknown,,70319896,922352,1.2887972191064923,4
79,1,2,"Caldwell, Master. Alden Gates",male,0.83,0,2,248738,29.0,,S,29,Master,Master,3,0,2,14.5,0.028620689655172414,Unknown,,37403382,560337,1.2804583895777244,4
80,1,3,"Dowdell, Miss. Elizabeth",female,30.0,0,0,364516,12.475,,S,24,Miss,Miss,1,1,2,6.238,2.404809619238477,Unknown,,3012916,824839,1.5190269351229435,3
81,0,3,"Waelens, Mr. Achille",male,22.0,0,0,345767,9.0,,S,20,Mr,Mr,1,1,1,9.0,2.4444444444444446,Unknown,,89152703,905889,1.3882717264941014,3
82,1,3,"Sheerlinck, Mr. Jan Baptist",male,29.0,0,0,345779,9.5,,S,27,Mr,Mr,1,1,1,9.5,3.0526315789473686,Unknown,,50290387,559773,6.4087474480321465,4
83,1,3,"McDermott, Miss. Brigdet Delia",female,,0,0,330932,7.7875,,Q,30,Miss,Miss,1,1,1,7.788,0.0,Unknown,,45428386,308261,1.8188008439914483,4
84,0,1,"Carrau, Mr. Francisco M",male,28.0,0,0,113059,47.1,,S,23,Mr,Mr,1,1,1,47.1,0.5944798301486199,Unknown,,95527534,864469,3.456672833238632,4
85,1,2,"Ilett, Miss. Bertha",female,17.0,0,0,SO/C 14885,10.5,,S,19,Miss,Miss,1,1,1,10.5,1.619047619047619,Unknown,,20208096,441097,8.967884099060118,3
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,3,0,3101278,15.85,,S,55,Mrs,Mrs,4,0,2,7.925,2.082018927444795,Unknown,,48321823,415139,4.739616402628723,7
87,0,3,"Ford, Mr. William Neal",male,16.0,1,3,W./C. 6608,34.375,,S,22,Mr,Mr,5,0,4,8.594,0.46545454545454545,Unknown,,30708715,271829,6.675577385210271,4
88,0,3,"Slocovski, Mr. Selman Francis",male,,0,0,SOTON/OQ 392086,8.05,,S,29,Mr,Mr,1,1,1,8.05,0.0,Unknown,,16282515,371836,1.7231987120162984,4
89,1,1,"Fortune, Miss. Mabel Helen",female,23.0,3,2,19950,263.0,C23 C25 C27,S,26,Miss,Miss,6,0,4,65.75,0.08745247148288973,C,23.0,62734929,538974,1.9228901880867078,4
90,0,3,"Celotti, Mr. Francesco",male,24.0,0,0,343275,8.05,,S,22,Mr,Mr,1,1,1,8.05,2.981366459627329,Unknown,,10463558,302283,0.40868616266478863,3
91,0,3,"Christmann, Mr. Emil",male,29.0,0,0,343276,8.05,,S,20,Mr,Mr,1,1,1,8.05,3.602484472049689,Unknown,,6056077,296769,1.6893506307216455,3
92,0,3,"Andreasson, Mr. Paul Edvin",male,20.0,0,0,347466,7.8542,,S,26,Mr,Mr,1,1,1,7.854,2.546408291105396,Unknown,,98968085,661353,2.7859033903195862,4
93,0,1,"Chaffee, Mr. Herbert Fuller",male,46.0,1,0,W.E.P. 5734,61.175,E31,S,27,Mr,Mr,2,0,1,61.175,0.7519411524315489,E,31.0,29823784,323165,1.7701048427674682,4
94,0,3,"Dean, Mr. Bertram Frank",male,26.0,1,2,C.A. 2315,20.575,,S,23,Mr,Mr,4,0,2,10.288,1.2636695018226003,Unknown,,14754533,723587,0.8870253375705561,4
95,0,3,"Coxon, Mr. Daniel",male,59.0,0,0,364500,7.25,,S,17,Mr,Mr,1,1,1,7.25,8.137931034482758,Unknown,,42581405,635822,1.206358711006008,3
96,0,3,"Shorney, Mr. Charles Joseph",male,,0,0,374910,8.05,,S,27,Mr,Mr,1,1,1,8.05,0.0,Unknown,,76309171,587879,4.607787680327258,4
97,0,1,"Goldschmidt, Mr. George B",male,71.0,0,0,PC 17754,34.6542,A5,C,25,Mr,Mr,1,1,1,34.654,2.048813708006533,A,5.0,99297609,664685,2.063337184057925,4
98,1,1,"Greenfield, Mr. William Bertram",male,23.0,0,1,PC 17759,63.3583,D10 D12,C,31,Mr,Mr,2,0,1,63.358,0.3630147904852245,D,10.0,19358954,882038,3.6426986104807546,4
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0,0,1,231919,23.0,,S,36,Mrs,Mrs,2,0,2,11.5,1.4782608695652173,Unknown,,9835540,453531,5.034172708548569,7
100,0,2,"Kantor, Mr. Sinai",male,34.0,1,0,244367,26.0,,S,17,Mr,Mr,2,0,2,13.0,1.3076923076923077,Unknown,,81186587,363160,6.903948286293653,3
101,0,3,"Petranec, Miss. Matilda",female,28.0,0,0,349245,7.8958,,S,23,Miss,Miss,1,1,1,7.896,3.5461891131994223,Unknown,,51155311,679879,0.39312139841098936,3
102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,,0,0,349215,7.8958,,S,32,Mr,Mr,1,1,1,7.896,0.0,Unknown,,25329681,320884,7.994103989090426,4
103,0,1,"White, Mr. Richard Frasar",male,21.0,0,1,35281,77.2875,D26,S,25,Mr,Mr,2,0,2,38.644,0.27171276079573026,D,26.0,11967853,123247,6.279003894909078,4
104,0,3,"Johansson, Mr. Gustaf Joel",male,33.0,0,0,7540,8.6542,,S,26,Mr,Mr,1,1,1,8.654,3.8131774167456265,Unknown,,47831736,124300,0.8175903194887191,4
105,0,3,"Gustafsson, Mr. Anders Vilhelm",male,37.0,2,0,3101276,7.925,,S,30,Mr,Mr,3,0,1,7.925,4.668769716088328,Unknown,,81713760,567281,8.735786241067773,4
106,0,3,"Mionoff, Mr. Stoytcho",male,28.0,0,0,349207,7.8958,,S,21,Mr,Mr,1,1,1,7.896,3.5461891131994223,Unknown,,60958057,707086,9.208724005318132,3
107,1,3,"Salkjelsvik, Miss. Anna Kristine",female,21.0,0,0,343120,7.65,,S,32,Miss,Miss,1,1,1,7.65,2.7450980392156863,Unknown,,17734742,633556,0.6107795985486375,4
108,1,3,"Moss, Mr. Albert Johan",male,,0,0,312991,7.775,,S,22,Mr,Mr,1,1,1,7.775,0.0,Unknown,,84422576,448951,2.7687764814720373,4
109,0,3,"Rekic, Mr. Tido",male,38.0,0,0,349249,7.8958,,S,15,Mr,Mr,1,1,1,7.896,4.8126852250563585,Unknown,,26384751,374329,8.062012797930613,3
110,1,3,"Moran, Miss. Bertha",female,,1,0,371110,24.15,,Q,19,Miss,Miss,2,0,3,8.05,0.0,Unknown,,82399976,819064,7.482596903836583,3
111,0,1,"Porter, Mr. Walter Chamberlain",male,47.0,0,0,110465,52.0,C110,S,30,Mr,Mr,1,1,2,26.0,0.9038461538461539,C,110.0,8773032,842139,1.8452101935637732,4
112,0,3,"Zabour, Miss. Hileni",female,14.5,1,0,2665,14.4542,,C,20,Miss,Miss,2,0,2,7.227,1.0031686291873643,Unknown,,54091058,532315,2.093493233367103,3
113,0,3,"Barton, Mr. David John",male,22.0,0,0,324669,8.05,,S,22,Mr,Mr,1,1,1,8.05,2.732919254658385,Unknown,,65481711,616588,3.70472102791382,4
114,0,3,"Jussila, Miss. Katriina",female,20.0,1,0,4136,9.825,,S,23,Miss,Miss,2,0,1,9.825,2.035623409669211,Unknown,,47440325,336584,4.845229851910213,3
115,0,3,"Attalah, Miss. Malake",female,17.0,0,0,2627,14.4583,,C,21,Miss,Miss,1,1,2,7.229,1.1757952179716842,Unknown,,18819178,662332,6.1825477153029595,3
116,0,3,"Pekoniemi, Mr. Edvard",male,21.0,0,0,STON/O 2. 3101294,7.925,,S,21,Mr,Mr,1,1,1,7.925,2.6498422712933754,Unknown,,78937845,937646,3.689136395697724,3
117,0,3,"Connors, Mr. Patrick",male,70.5,0,0,370369,7.75,,Q,20,Mr,Mr,1,1,1,7.75,9.096774193548388,Unknown,,58551274,476896,4.625347161331479,3
118,0,2,"Turpin, Mr. William John Robert",male,29.0,1,0,11668,21.0,,S,31,Mr,Mr,2,0,2,10.5,1.380952380952381,Unknown,,7100467,148984,7.474709381337565,5
119,0,1,"Baxter, Mr. Quigg Edmond",male,24.0,0,1,PC 17558,247.5208,B58 B60,C,24,Mr,Mr,2,0,2,123.76,0.09696154828200296,B,58.0,89813936,402918,0.366832028905979,4
120,0,3,"Andersson, Miss. Ellis Anna Maria",female,2.0,4,2,347082,31.275,,S,33,Miss,Miss,7,0,7,4.468,0.0639488409272582,Unknown,,8883386,364712,2.5243694434402073,5
121,0,2,"Hickman, Mr. Stanley George",male,21.0,2,0,S.O.C. 14879,73.5,,S,27,Mr,Mr,3,0,5,14.7,0.2857142857142857,Unknown,,89681991,220151,7.133495858845524,4
122,0,3,"Moore, Mr. Leonard Charles",male,,0,0,A4. 54510,8.05,,S,26,Mr,Mr,1,1,1,8.05,0.0,Unknown,,39817476,555808,8.952068376871994,4
123,0,2,"Nasser, Mr. Nicholas",male,32.5,1,0,237736,30.0708,,C,20,Mr,Mr,2,0,2,15.035,1.0807826861939158,Unknown,,49331071,233767,5.116774421156661,3
124,1,2,"Webber, Miss. Susan",female,32.5,0,0,27267,13.0,E101,S,19,Miss,Miss,1,1,1,13.0,2.5,E,101.0,45798885,748663,5.321134852653157,3
125,0,1,"White, Mr. Percival Wayland",male,54.0,0,1,35281,77.2875,D26,S,27,Mr,Mr,2,0,2,38.644,0.6986899563318778,D,26.0,11967853,803550,1.0717201133977605,4
126,1,3,"Nicola-Yarred, Master. Elias",male,12.0,1,0,2651,11.2417,,C,28,Master,Master,2,0,2,5.621,1.0674542106620886,Unknown,,28542760,236330,4.474123668234546,3
127,0,3,"McMahon, Mr. Martin",male,,0,0,370372,7.75,,Q,19,Mr,Mr,1,1,1,7.75,0.0,Unknown,,6669705,580754,5.326172664550231,3
128,1,3,"Madsen, Mr. Fridtjof Arne",male,24.0,0,0,C 17369,7.1417,,S,25,Mr,Mr,1,1,1,7.142,3.3605444081941274,Unknown,,38440175,401648,2.4247050363472966,4
129,1,3,"Peter, Miss. Anna",female,,1,1,2668,22.3583,F E69,C,17,Miss,Miss,3,0,2,11.179,0.0,F,69.0,70214072,788519,2.6924323094938094,3
130,0,3,"Ekstrom, Mr. Johan",male,45.0,0,0,347061,6.975,,S,18,Mr,Mr,1,1,1,6.975,6.451612903225807,Unknown,,2708165,113986,3.7728416310462265,3
131,0,3,"Drazenoic, Mr. Jozef",male,33.0,0,0,349241,7.8958,,C,20,Mr,Mr,1,1,1,7.896,4.17943716912789,Unknown,,16024480,686146,0.20071197777726368,3
132,0,3,"Coelho, Mr. Domingos Fernandeo",male,20.0,0,0,SOTON/O.Q. 3101307,7.05,,S,30,Mr,Mr,1,1,1,7.05,2.8368794326241136,Unknown,,50702822,229312,3.220791655831783,4
133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47.0,1,0,A/5. 3337,14.5,,S,46,Mrs,Mrs,2,0,1,14.5,3.2413793103448274,Unknown,,23396983,112666,2.1144800699654462,7
134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29.0,1,0,228414,26.0,,S,45,Mrs,Mrs,2,0,1,26.0,1.1153846153846154,Unknown,,99801311,400804,3.2749735217791462,6
135,0,2,"Sobey, Mr. Samuel James Hayden",male,25.0,0,0,C.A. 29178,13.0,,S,30,Mr,Mr,1,1,1,13.0,1.9230769230769231,Unknown,,18593902,234633,1.1976213181925122,5
136,0,2,"Richard, Mr. Emile",male,23.0,0,0,SC/PARIS 2133,15.0458,,C,18,Mr,Mr,1,1,1,15.046,1.5286658070690824,Unknown,,62938246,388998,8.90527280739895,3
137,1,1,"Newsom, Miss. Helen Monypeny",female,19.0,0,2,11752,26.2833,D47,S,28,Miss,Miss,3,0,1,26.283,0.7228924830595853,D,47.0,61821096,950937,5.935924535540487,4
138,0,1,"Futrelle, Mr. Jacques Heath",male,37.0,1,0,113803,53.1,C123,S,27,Mr,Mr,2,0,2,26.55,0.6967984934086628,C,123.0,2493079,728776,6.791023191444896,4
139,0,3,"Osen, Mr. Olaf Elon",male,16.0,0,0,7534,9.2167,,S,19,Mr,Mr,1,1,2,4.608,1.7359792550479023,Unknown,,89008429,807611,7.891712386073383,4
140,0,1,"Giglio, Mr. Victor",male,24.0,0,0,PC 17593,79.2,B86,C,18,Mr,Mr,1,1,2,39.6,0.30303030303030304,B,86.0,16850168,384806,4.984421989290572,3
